Instancia,Inicial,Iteraciones,ItEfectivas,CantMemoria,PorcentajeVecindad,Aspirar,Tabu,Algoritmo,Time,Impacto,Optimo,N,Gap
CMI_n20.in,S-LF,500,24,500,20,False,TSS-E,TSS-E-S-LF,443.52599999999995,11,25,20,0.56
CMI_n20.in,S-LF,700,700,5,20,True,TSS-E,TSS-E-S-LF,8614.59,11,25,20,0.56
CMI_n20.in,S-LF,700,700,5,20,False,TSS-E,TSS-E-S-LF,7888.91,11,25,20,0.56
CMI_n20.in,S-LF,700,24,20,20,True,TSS-E,TSS-E-S-LF,347.489,11,25,20,0.56
CMI_n20.in,S-LF,700,24,20,20,False,TSS-E,TSS-E-S-LF,333.292,11,25,20,0.56
CMI_n20.in,S-LF,700,24,35,20,True,TSS-E,TSS-E-S-LF,398.78999999999996,11,25,20,0.56
CMI_n20.in,S-LF,700,24,35,20,False,TSS-E,TSS-E-S-LF,462.538,11,25,20,0.56
CMI_n20.in,S-LF,700,24,50,20,True,TSS-E,TSS-E-S-LF,497.948,11,25,20,0.56
CMI_n20.in,S-LF,700,24,50,20,False,TSS-E,TSS-E-S-LF,356.267,11,25,20,0.56
CMI_n20.in,S-LF,700,24,100,20,True,TSS-E,TSS-E-S-LF,395.158,11,25,20,0.56
CMI_n20.in,S-LF,700,24,100,20,False,TSS-E,TSS-E-S-LF,377.043,11,25,20,0.56
CMI_n20.in,S-LF,700,24,200,20,True,TSS-E,TSS-E-S-LF,373.691,11,25,20,0.56
CMI_n20.in,S-LF,700,24,200,20,False,TSS-E,TSS-E-S-LF,353.619,11,25,20,0.56
CMI_n20.in,S-LF,700,24,300,20,True,TSS-E,TSS-E-S-LF,417.136,11,25,20,0.56
CMI_n20.in,S-LF,700,24,300,20,False,TSS-E,TSS-E-S-LF,415.379,11,25,20,0.56
CMI_n20.in,S-LF,700,24,400,20,True,TSS-E,TSS-E-S-LF,445.988,11,25,20,0.56
CMI_n20.in,S-LF,700,24,400,20,False,TSS-E,TSS-E-S-LF,385.55899999999997,11,25,20,0.56
